,name,artist,api_id,api_name,api_artists
196,Tragedy,Thomas Wayne,1tk65cIQ5EFk5vW8z5RWgt,Tragedy,Thomas Wayne
197,My Happiness,Connie Francis,3Caxz7mxX1pTWlxCYH1aV3,My Happiness,Connie Francis
198,Never Be Anyone Else But You,Ricky Nelson,0snHlyyyUp2hKYEz7ffmkx,Never Be Anyone Else But You - Remastered,Ricky Nelson
199,I Need Your Love Tonight,Elvis Presley,1SoFz4D2PWB98avdJnt0XD,I Need Your Love Tonight - Live,Elvis Presley
200,What A Diff'rence A Day Makes,Dinah Washington,66iKqUazBbTlAEjcZrpDkD,What A Diff'rence A Day Made,Dinah Washington
201,Alvin's Harmonica,David Seville and The Chipmunks,6EanPjcrgRrLjs23SPQAaa,Alvin's Harmonica - Remastered 1999,"David Seville,Alvin & The Chipmunks"
202,Lonely Street,Andy Williams,4vzwzP3O4ihgi4FdewHMsb,Lonely Street,Andy Williams
203,Whatd I Say,Ray Charles,5yQ9iMZXGcr5rlO4hoLsP4,"What'd I Say, Pt. 1 & 2",Ray Charles
204,Broken-hearted Melody,Sarah Vaughan,5X4lsUAYrT5m0IyL6Xm8T5,Broken Hearted Melody,Sarah Vaughan
205,Poison Ivy,Coasters,5y3EUvXJouxlUk5FLOblFB,Poison Ivy,The Coasters
206,Lonely Teardrops,Jackie Wilson,6TYR3IVgIwDK6ydc2EPEQq,Lonely Teardrops,Jackie Wilson
207,Frankie,Connie Francis,3cmGF5NDmyRcc8XM3xbFWb,Frankie,Connie Francis
208,Enchanted,Platters,3uCXarDsIYEJ6noaI64jhW,Enchanted,The Platters
209,Since I Don't Have You,Skyliners,5m1bCro6fYB2Vl6aRGCMpJ,Since I Don't Have You,"The Skyliners,Vogel,Rock,Beaumont,Verscharen"
210,The Chipmunk Song,David Seville and The Chipmunks,02NKMA9cIkq6VuBNu9q9Wf,The Chipmunk Song (Christmas Don't Be Late) - Remastered 1999,"Alvin & The Chipmunks,David Seville"
211,I Want To Walk You Home,Fats Domino,7Eb6tK57j03HANxorHhd5h,I Want To Walk You Home - Remastered,Fats Domino
212,It's Late,Ricky Nelson,5fWoxLPLPaJUy3Iostzl1C,It's Late,Ricky Nelson
213,The Tijuana Jail,Kingston Trio,4adwiDSem8c2jgiy66Bcsv,The Tijuana Jail - 1990 Digital Remaster,The Kingston Trio
214,Just A Little Too Much,Ricky Nelson,5mIfY39eTpWHj2gpEXvjb6,Just A Little Too Much - Remastered,Ricky Nelson
215,Along Came Jones,Coasters,4RPiAR1m2eglvjWMHHFu1Y,Along Came Jones,The Coasters
216,Sweeter Than You,Ricky Nelson,4si2ZU8jVZWTuoUvkujcmw,Sweeter Than You,Ricky Nelson
217,Kissin' Time,Bobby Rydell,21ZVvnP0MY0EbrOovH0tUp,Kissin' Time,Bobby Rydell
218,My Wish Came True,Elvis Presley,543SzJd0OFYwTU6AucokHq,My Wish Came True,Elvis Presley
219,Take A Message To Mary,Everly Brothers,2Nrd5jRq7KVrHOWOVUKi5S,Take A Message To Mary - 1959 #16 Billboard chart hit; #27 UK,The Everly Brothers
220,Battle Hymn Of The Republic,Mormon Tabernacle Choir,4X2oOZAf7Rv6PatkhdXefD,Battle Hymn of the Republic,"Mormon Tabernacle Choir,Richard P. Condie"
