index,artist
1114,Paul Simon
1115,Daryl Hall & John Oates
1116,Barry Manilow
1117,Diana Ross
1118,Seals and Crofts
1119,Andrea True Connection
1120,England Dan & John Ford Coley
1121,Hot Chocolate
1122,Nazareth
1123,KC & The Sunshine Band
1124,Commodores
1125,Maxine Nightingale
1126,Ohio Players
1127,Bee Gees
1128,Lou Rawls
1129,David Bowie
1130,Dr. Hook
1131,The Bellamy Brothers
1132,Vicki Sue Robinson
1133,Eric Carmen
1134,Dr. Hook
1135,Chicago
1136,Boz Scaggs
1137,Peter Frampton
1138,Aerosmith
1139,The O'Jays
1140,Fleetwood Mac
1141,Paul Anka
1142,Cliff Richard
1143,Elvin Bishop
1144,John Sebastian
1145,Earth
1145, Wind & Fire
1146,Tavares
1147,Captain & Tennille
1148,Bay City Rollers
1149,Elton John
1150,The Staple Singers
1151,Wings
1152,George Benson
1153,Electric Light Orchestra
1154,John Travolta
1155,Fleetwood Mac
1156,The Beatles
1157,Bee Gees
1158,Earth
1158, Wind & Fire
1159,Daryl Hall & John Oates
1160,The Beach Boys
1161,Orleans
1162,Jefferson Starship
1163,Foghat
1164,David Ruffin
1165,Peter Frampton
1166,Candi Staton
1167,Bay City Rollers
1168,Parliament
1169,Barry Manilow
1170,KISS
1171,Thin Lizzy
1172,Steve Miller Band
1173,Glen Campbell
1174,Rod Stewart
1175,Andy Gibb
1176,Thelma Houston
1177,Rita Coolidge
1178,KC & The Sunshine Band
1179,ABBA
1180,Leo Sayer
1181,Jimmy Buffett
1182,Electric Light Orchestra
1183,Stevie Wonder
1184,Glen Campbell
1185,Daryl Hall & John Oates
1186,Leo Sayer
1187,Rose Royce
1188,Steve Miller Band
1189,Foreigner
1190,Climax Blues Band
1191,Commodores
1192,Jennifer Warnes
1193,Natalie Cole
1194,Barry Manilow
1195,Atlanta Rhythm Section
1196,Fleetwood Mac
1197,Brick
1198,Peter Frampton
1199,Kenny Rogers
1200,10cc
1201,James Taylor
1202,Crosby
1202, Stills & Nash
1203,Alice Cooper
1204,Johnny Rivers
1205,Andrew Gold
1206,Stevie Wonder
1207,Fleetwood Mac
1208,Heart
1209,Bob Seger
1210,Helen Reddy
1211,The Marshall Tucker Band
1212,Kansas
1213,Barbra Streisand
1214,Engelbert Humperdinck
1215,Steve Miller Band
1216,Burton Cummings
1217,Elvis Presley
1218,Barry Manilow
1219,Ronnie Milsap
1220,Foreigner
1221,Dean Friedman
1222,Bread
1223,Boz Scaggs
1224,KC & The Sunshine Band
1225,Bay City Rollers
1226,Electric Light Orchestra
1227,Supertramp
1228,Bee Gees
1229,The Spinners
1230,Alice Cooper
1231,Carly Simon
1232,Rose Royce
1233,Captain & Tennille
1234,Aerosmith
1235,Al Stewart
1236,Fleetwood Mac
1237,Elton John
1238,B.J. Thomas
1239,ABBA
1240,Leo Sayer
1241,Andy Gibb
1242,Bee Gees
1243,Bee Gees
1244,Exile
1245,Bee Gees
1246,Player
1247,Andy Gibb
1248,Commodores
1249,Frankie Valli
1250,John Travolta
1250,Olivia Newton-John
1251,Eric Clapton
1252,The Rolling Stones
1253,Billy Joel
1254,Wings
1255,Yvonne Elliman
1256,CHIC
1257,Bonnie Tyler
1258,Gerry Rafferty
1259,Barry Manilow
1260,Johnny Mathis
1260,Deniece Williams
1261,Meat Loaf
1262,Raydio
1263,ABBA
1264,Dan Hill
1265,Olivia Newton-John
1266,Foreigner
1267,Rod Stewart
1268,Roberta Flack
1268,Donny Hathaway
1269,Kansas
1270,Randy Newman
1271,The O'Jays
1272,Natalie Cole
1273,Andy Gibb
1274,Paul Simon
1275,Jay Ferguson
